Name,Rating,Price,Connectivity,Processor,RAM_Storage,Battery,Display,Camera,OS
Samsung W25,4.7,"₹1,99,990","Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","16 GB RAM, 512 GB inbuilt",4400 mAh Battery with 25W Fast Charging,"8 inches, 1968 x 2184 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",200 MP + 12 MP + 10 MP Triple Rear & 10 MP + 4 MP Dual Front Camera
Huawei Enjoy 70X,4.45,"₹25,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Kirin 8000A, Hexa Core, 2.19 GHz Processor",128 GB inbuilt,6100 mAh Battery with 40W Fast Charging,"6.78 inches, 1224 x 2700 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,HarmonyOS v4.2
iQOO Z9 Turbo Plus,4.55,"₹26,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",6400 mAh Battery with 80W Fast Charging,"6.78 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v14
Realme Narzo N63,4.05,"₹9,999","Dual Sim, 4G, VoLTE, NFC, Wi-Fi","Unisoc T612, Octa Core, 1.8 GHz Processor","4 GB RAM, 64 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.75 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
OPPO Reno 12F 4G,4.6,"₹19,990","Dual Sim, 4G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 685, Octa Core, 2.8 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,Memory Card (Hybrid)
Motorola Edge (2024),4.2,"₹46,990","Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 68W Fast Charging,"6.6 inches, 1080 x 2400 px Display",50 MP + 13 MP Dual Rear & 32 MP Front Camera,Android v14
iQOO Neo 9S Pro Plus 5G,4.65,"₹34,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",5500 mAh Battery with 120W Fast Charging,"6.78 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 16 MP Front Camera,Android v14
Huawei Pura 80,4.5,"₹69,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Kirin, Octa Core Processor","12 GB RAM, 256 GB inbuilt",5600 mAh Battery with 66W Fast Charging,"6.6 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 13 MP + 12 MP Triple Rear & 13 MP Front Camera,HarmonyOS v5.1
Vivo Y28 4G,4.35,"₹13,990","Dual Sim, 4G, VoLTE, Wi-Fi","Helio G85, Octa Core, 2 GHz Processor","4 GB RAM, 128 GB inbuilt",6000 mAh Battery with 44W Fast Charging,"6.68 inches, 720 x 1608 px, 90 Hz Display with Punch Hole",50 MP Rear & 8 MP Front Camera,Memory Card (Hybrid)
Oppo A60 4G,4.55,"₹15,990","Dual Sim, 4G, VoLTE, Wi-Fi","Snapdragon 680, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.67 inches, 720 x 1604 px, 90 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB"
